language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=3.12 s (577.6 files/s 139666.9 lines/s)"
SQL,./BlogEngine/BlogEngine.NET/setup/MySQL/Archive/MySQLSetup2.8.0.sql,42,1,513
JavaScript,./BlogEngine/BlogEngine.NET/Scripts/Auto/blog.js,75,48,511
SQL,./BlogEngine/BlogEngine.NET/setup/MySQL/Archive/MySQLSetup3.1.0.sql,41,7,496
SQL,./BlogEngine/BlogEngine.NET/setup/MySQL/Setup.sql,40,7,496
SQL,./BlogEngine/BlogEngine.NET/setup/MySQL/Archive/MySQLSetup3.0.0.sql,40,1,487
C#,./BlogEngine/BlogEngine.Core/Services/Security/Right.cs,120,199,477
C#,./BlogEngine/BlogEngine.NET/admin/Extensions/Settings.ascx.cs,66,159,447
SQL,./BlogEngine/BlogEngine.NET/setup/SQLServer/Archive/MSSQLUpgradeFrom2.0to2.5.sql,143,297,434
MSBuild script,./BlogEngine/BlogEngine.Core/BlogEngine.Core.csproj,0,7,424
C#,./BlogEngine/BlogEngine.Core/Page.cs,103,211,420
Text,./BlogEngine/BlogEngine.NET/admin/editors/tinymce/license.txt,86,0,418
SQL,./BlogEngine/BlogEngine.NET/setup/MySQL/Archive/MySQLSetup2.5.0.sql,35,1,418
C#,./BlogEngine/BlogEngine.Core/Services/Packaging/FileSystem.cs,89,47,415
JavaScript,./BlogEngine/BlogEngine.NET/Scripts/syntaxhighlighter/scripts/XRegExp.js,77,178,409
C#,./BlogEngine/BlogEngine.Core/Providers/BlogService.cs,101,464,406
SQL,./BlogEngine/BlogEngine.NET/setup/MySQL/Archive/MySQLSetup2.0.0.sql,29,1,393
C#,./BlogEngine/BlogEngine.Core/Web/HttpHandlers/Sioc.cs,102,214,390
C#,./BlogEngine/BlogEngine.Core/Services/Messaging/Protection/CommentHandlers.cs,89,121,386
C#,./BlogEngine/BlogEngine.NET/Custom/Extensions/Recaptcha/RecaptchaControl.cs,74,159,386
C#,./BlogEngine/BlogEngine.Core/Services/Search/Search.cs,98,252,378
C#,./BlogEngine/BlogEngine.Core/AuthorProfile.cs,88,172,377
