FullName,FilePathString,NbLines,NbTypesUsingMe,NbTypesUsed
BlogEngine.Core.SaveAction,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\SavedEventArgs.cs,60,26,5
BlogEngine.Core.Compilation.Design.CodeExpressionEditor,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\Design\CodeExpressionEditor.cs,45,0,6
BlogEngine.Core.Compilation.Design.QueryStringExpressionEditor,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\Design\QueryStringExpressionEditor.cs,45,0,6
BlogEngine.Core.Compilation.Design.SessionExpressionEditor,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\Design\SessionExpressionEditor.cs,45,0,6
BlogEngine.Core.Data.Models.JsonResponse<T>,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\JsonResponse.cs,53,0,6
DashboardController,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\DashboardController.cs,18,0,6
SetupController,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\SetupController.cs,11,0,6
PagerController,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\PagerController.cs,10,0,6
StatsController,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\StatsController.cs,19,0,6
BlogEngine.Core.Result,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Search\Search.cs,728,1,6
PingItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\PingServicesController.cs,63,1,6
App_Code.Controls.MonthList+MonthListDisplayOptions,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Controls\MonthList.cs,381,1,6
BlogEngine.NET.Custom.Widgets.MonthItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Widgets\MonthList\MonthList.cs,59,1,6
BlogEngine.Core.API.MetaWeblog.MetaWeblogException,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MetaWeblogException.cs,43,2,6
BlogEngine.Core.API.BlogML.BaseReader,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Syndication\BlogML\BaseReader.cs,73,2,6
BlogEngine.Core.Data.Models.Permission,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Security.cs,71,2,6
BlogEngine.Core.DataStore.WidgetData,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\DataStore\XMLDocumentBehavior.cs,144,3,6
BlogEngine.Core.API.MetaWeblog.MWAPost,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWAPost.cs,77,3,6
