file,class,lines,used_count,using_me_count
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\SavedEventArgs.cs,BlogEngine.Core.SavedEventArgs,4,1,11
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\DataStore\Interfaces.cs,BlogEngine.Core.DataStore.ISettingsBehavior,,1,9
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\ExtensionParameter.cs,BlogEngine.Core.Web.Extensions.ExtensionParameter,42,1,7
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\CategoryItem.cs,BlogEngine.Core.Data.Models.CategoryItem,12,1,7
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Package.cs,BlogEngine.Core.Data.Models.Package,43,1,7
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\PageItem.cs,BlogEngine.Core.Data.Models.PageItem,24,1,5
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Account\account.master.cs,Account.AccountMasterPage,20,1,5
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\FileSystem\Common.cs,BlogEngine.Core.FileSystem.FileInstance,29,1,4
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\FileSystem\FileStoreDb.cs,BlogEngine.Core.FileSystem.FileStoreDirectory,53,1,4
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\PageDetail.cs,BlogEngine.Core.Data.Models.PageDetail,36,1,4
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Settings.cs,BlogEngine.Core.Data.Models.Settings,163,1,4
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\ViewModels\WidgetsVM.cs,BlogEngine.Core.Data.ViewModels.WidgetZone,4,1,4
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Messaging\Protection\ICustomFilter.cs,BlogEngine.Core.ICustomFilter,,1,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\FileSystem\FileStoreDb.cs,BlogEngine.Core.FileSystem.FileStoreFileThumb,42,1,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Security.cs,BlogEngine.Core.Data.Models.Group,9,1,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\TrashVM.cs,BlogEngine.Core.Data.Models.TrashVM,6,1,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IDashboardRepository.cs,BlogEngine.Core.Data.Contracts.IDashboardRepository,,1,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ICommentFilterRepository.cs,BlogEngine.Core.Data.Contracts.ICommentFilterRepository,,1,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ICustomFieldRepository.cs,BlogEngine.Core.Data.Contracts.ICustomFieldRepository,,1,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IFileManagerRepository.cs,BlogEngine.Core.Data.Contracts.IFileManagerRepository,,1,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IUsersRepository.cs,BlogEngine.Core.Data.Contracts.IUsersRepository,,1,3
